Brand,Model,Version,Transmission,Year,Age,Sex,Policy,Insurance_company,Price
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Amplia,Mapfre,"4,806.28"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Amplia,Seguros Atlas,"5,000.10"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Amplia,ABA,"5,108.73"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Amplia,Zurich,"5,350.94"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Amplia,AXA,"5,623.83"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Amplia,AIG,"5,917.76"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Amplia,GNP,"5,922.60"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Amplia,HDI,"6,245.52"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Amplia,ANA,"6,353.21"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Amplia,Qualitas,"6,764.61"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Amplia,Inbursa,"8,107.90"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Limitada,AXA,"3,177.52"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Limitada,Zurich,"3,661.45"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Limitada,ABA,"3,774.82"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Limitada,HDI,"3,977.54"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Limitada,Seguros Atlas,"4,136.92"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Limitada,Mapfre,"4,147.29"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Limitada,Inbursa,"4,984.73"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Limitada,Qualitas,"5,053.89"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Limitada,AIG,"5,384.27"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Limitada,ANA,"5,615.03"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,Limitada,GNP,"5,743.84"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,RC,AXA,"2,400.26"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,RC,HDI,"2,852.89"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,RC,ABA,"3,228.28"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,RC,Mapfre,"3,233.45"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,RC,Zurich,"3,423.56"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,RC,Inbursa,"3,553.63"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,RC,Seguros Atlas,"3,864.29"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,RC,Qualitas,"4,634.84"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,RC,ANA,"4,764.78"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,RC,AIG,"5,055.23"
Nissan,VERSA,ADVANCE,Aut,2012,50,H,RC,GNP,"5,687.31"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Amplia,ANA,"6,353.21"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Amplia,AXA,"6,596.02"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Amplia,Qualitas,"6,764.61"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Amplia,AIG,"7,281.73"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Amplia,ABA,"7,514.39"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Amplia,Seguros Atlas,"7,565.19"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Amplia,HDI,"7,684.16"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Amplia,Mapfre,"7,831.07"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Amplia,GNP,"7,932.26"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Amplia,Zurich,"9,586.91"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Amplia,Inbursa,"10,228.71"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Limitada,AXA,"3,832.21"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Limitada,HDI,"4,285.63"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Limitada,Qualitas,"5,053.89"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Limitada,ABA,"5,457.02"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Limitada,ANA,"5,615.03"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Limitada,Zurich,"5,712.19"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Limitada,Seguros Atlas,"5,985.47"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Limitada,Inbursa,"6,119.27"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Limitada,AIG,"6,169.22"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Limitada,Mapfre,"6,553.82"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,Limitada,GNP,"7,663.13"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,RC,AXA,"2,944.41"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,RC,HDI,"3,222.00"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,RC,Inbursa,"3,553.63"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,RC,ABA,"4,414.63"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,RC,Qualitas,"4,634.84"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,RC,ANA,"4,764.78"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,RC,Mapfre,"4,951.00"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,RC,Zurich,"5,166.20"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,RC,Seguros Atlas,"5,486.52"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,RC,AIG,"5,760.74"
Nissan,VERSA,ADVANCE,Aut,2012,18,M,RC,GNP,"7,578.01"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Amplia,AXA,"6,115.32"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Amplia,ANA,"6,353.21"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Amplia,ABA,"6,394.84"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Amplia,Qualitas,"6,764.61"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Amplia,Seguros Atlas,"7,083.59"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Amplia,AIG,"7,135.33"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Amplia,HDI,"7,323.16"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Amplia,GNP,"7,485.67"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Amplia,Mapfre,"7,604.69"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Amplia,Zurich,"7,810.45"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Amplia,Inbursa,"7,810.45"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Limitada,AXA,"3,484.17"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Limitada,HDI,"4,177.95"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Limitada,ABA,"4,789.22"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Limitada,Zurich,"4,852.19"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Limitada,Qualitas,"5,053.89"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Limitada,ANA,"5,615.03"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Limitada,Seguros Atlas,"5,640.39"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Limitada,Inbursa,"6,119.27"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Limitada,AIG,"6,165.77"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Limitada,Mapfre,"6,370.02"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,Limitada,GNP,"7,236.62"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,RC,AXA,"2,658.16"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,RC,HDI,"3,111.03"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,RC,Inbursa,"3,553.63"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,RC,ABA,"3,941.27"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,RC,Zurich,"4,435.34"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,RC,Qualitas,"4,634.84"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,RC,ANA,"4,764.78"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,RC,Mapfre,"4,820.63"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,RC,Seguros Atlas,"5,184.56"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,RC,AIG,"5,757.30"
Nissan,VERSA,ADVANCE,Aut,2012,25,M,RC,GNP,"7,157.86"
Nissan,VERSA,ADVANCE,Aut,2012,30,M,Amplia,ABA,"5,718.75"
Nissan,VERSA,ADVANCE,Aut,2012,30,M,Amplia,AXA,"5,753.91"
Nissan,VERSA,ADVANCE,Aut,2012,30,M,Amplia,AIG,"5,784.83"
Nissan,VERSA,ADVANCE,Aut,2012,30,M,Amplia,ANA,"6,353.21"
Nissan,VERSA,ADVANCE,Aut,2012,30,M,Amplia,Seguros Atlas,"6,670.79"
Nissan,VERSA,ADVANCE,Aut,2012,30,M,Amplia,Qualitas,"6,764.61"
